giocatore_id,categoria,posizione
5841,Prima fascia,1
4312,Prima fascia,2
5116,Prima fascia,3
6966,Prima fascia,4
572,Prima fascia,5
4431,Prima fascia,6
2521,Seconda fascia,7
6482,Seconda fascia,8
133,Seconda fascia,9
2134,Terza fascia,10
6462,Terza fascia,11
4360,Terza fascia,12
7332,Terza fascia,13
5320,Quarta fascia,14
6248,Quarta fascia,15
4485,Quarta fascia,16
6415,Quarta fascia,17
254,Prima fascia,18
2788,Prima fascia,19
4998,Prima fascia,20
4159,Prima fascia,21
6956,Prima fascia,22
2296,Prima fascia,23
2120,Prima fascia,24
1852,Seconda fascia,25
4976,Seconda fascia,26
6531,Seconda fascia,27
2816,Seconda fascia,28
6496,Terza fascia,29
6986,Scommesse,30
6869,Seconda fascia,31
5833,Terza fascia,32
4734,Terza fascia,33
5877,Scommesse,34
554,Seconda fascia,35
5365,Terza fascia,36
7529,Scommesse,37
6814,Terza fascia,38
4401,Terza fascia,39
4994,Terza fascia,40
5695,Quarta fascia,41
6821,Terza fascia,42
6664,Quarta fascia,43
6320,Quarta fascia,44
4210,Quarta fascia,45
4263,Quarta fascia,46
5010,Quarta fascia,47
6485,Quarta fascia,48
5838,Quarta fascia,49
6672,Quarta fascia,50
5701,Quarta fascia,51
7485,Quarta fascia,52
4433,Quarta fascia,53
6642,Quarta fascia,54
6989,Quarta fascia,55
4502,Quarta fascia,56
2188,Quarta fascia,57
6238,Quarta fascia,58
7410,Scommesse,59
4817,Quarta fascia,60
7537,Scommesse,61
7014,Quarta fascia,62
7469,Titolari scarsi,63
2640,Outsider,64
6426,Terza fascia,65
2514,Scommesse,66
4657,Terza fascia,67
6727,Terza fascia,68
7294,Scommesse,69
5885,Scommesse,70
7414,Scommesse,71
6867,Terza fascia,72
4887,Scommesse,73
4807,Terza fascia,74
4177,Scommesse,75
2724,Scommesse,76
5620,Scommesse,77
4751,Outsider,78
4845,Scommesse,79
7175,Scommesse,80
6042,Scommesse,81
7253,Titolari scarsi,82
6495,Titolari scarsi,83
5555,Quarta fascia,84
4952,Titolari scarsi,85
6890,Outsider,86
6990,Titolari scarsi,87
7068,Outsider,88
7274,Titolari scarsi,89
2115,Titolari scarsi,90
5851,Titolari scarsi,91
4374,Outsider,92
7540,Outsider,93
4925,Titolari scarsi,94
5307,Outsider,95
7240,Titolari scarsi,96
7238,Titolari scarsi,97
7268,Titolari scarsi,98
6892,Titolari scarsi,99
7235,Titolari scarsi,100
6189,Outsider,101
5982,Seconda fascia,102
6727,Titolari scarsi,103
5641,Seconda fascia,104
4887,Titolari scarsi,105
5555,Titolari scarsi,106
7535,Quarta fascia,107
6875,Prima fascia,108
4777,Prima fascia,109
2194,Prima fascia,110
2423,Prima fascia,111
7126,Seconda fascia,112
7556,Seconda fascia,113
2517,Seconda fascia,114
5559,Seconda fascia,115
6908,Seconda fascia,116
1870,Seconda fascia,117
6618,Scommesse,118
152,Seconda fascia,119
6884,Seconda fascia,120
7078,Seconda fascia,121
4220,Scommesse,122
6372,Seconda fascia,123
5172,Seconda fascia,124
6274,Seconda fascia,125
7223,Seconda fascia,126
2077,Scommesse,127
6678,Scommesse,128
6190,Scommesse,129
6898,Titolari scarsi,130
7436,Seconda fascia,131
2764,Prima fascia,132
5585,Prima fascia,133
4871,Prima fascia,134
6052,Seconda fascia,135
6397,Prima fascia,136
5951,Prima fascia,137
2097,Seconda fascia,138
6434,Scommesse,139
7017,Seconda fascia,140
531,Terza fascia,141
7071,Scommesse,142
4463,Scommesse,143
6646,Scommesse,144
6435,Scommesse,145
7181,Prima fascia,146
4409,Prima fascia,147
5022,Seconda fascia,148
4317,Seconda fascia,149
6217,Seconda fascia,150
5750,Seconda fascia,151
5526,Seconda fascia,152
6893,Scommesse,153
5520,Terza fascia,154
5514,Terza fascia,155
6766,Terza fascia,156
5862,Seconda fascia,157
7219,Terza fascia,158
460,Scommesse,159
6660,Terza fascia,160
6638,Scommesse,161
2167,Prima fascia,162
2766,Seconda fascia,163
632,Seconda fascia,164
6844,Seconda fascia,165
5687,Seconda fascia,166
2379,Seconda fascia,167
4973,Seconda fascia,168
7129,Seconda fascia,169
6398,Seconda fascia,170
5800,Terza fascia,171
7314,Seconda fascia,172
4892,Terza fascia,173
5792,Terza fascia,174
6684,Terza fascia,175
2606,Terza fascia,176
5589,Terza fascia,177
7472,Terza fascia,178
5119,Terza fascia,179
184,Terza fascia,180
2529,Outsider,181
6151,Quarta fascia,182
5844,Scommesse,183
5823,Terza fascia,184
5888,Quarta fascia,185
6666,Terza fascia,186
6010,Quarta fascia,187
5562,Quarta fascia,188
1933,Quarta fascia,189
2741,Scommesse,190
5878,Quarta fascia,191
5998,Scommesse,192
7060,Quarta fascia,193
6218,Scommesse,194
6640,Quarta fascia,195
5674,Quarta fascia,196
779,Quarta fascia,197
4465,Quarta fascia,198
827,Quarta fascia,199
4364,Quarta fascia,200
6783,Scommesse,201
6629,Outsider,202
333,Outsider,203
22,Outsider,204
7127,Outsider,205
4436,Scommesse,206
4856,Scommesse,207
5500,Scommesse,208
536,Scommesse,209
7070,Scommesse,210
5761,Scommesse,211
530,Outsider,212
6717,Scommesse,213
2765,Scommesse,214
7464,Scommesse,215
6503,Scommesse,216
6294,Scommesse,217
2848,Seconda fascia,218
5036,Outsider,219
6677,Scommesse,220
6015,Scommesse,221
7318,Scommesse,222
7409,Outsider,223
6994,Scommesse,224
2857,Outsider,225
6271,Outsider,226
7203,Scommesse,227
5301,Outsider,228
7536,Scommesse,229
6506,Scommesse,230
5813,Outsider,231
