Fantallenatore;Ruolo;Calciatore;Squadra Serie A;Fascia;Prezzo
Lollo;P;Provedel;Inter;Scommesse;18
Bale;P;Martinez Jo.;Inter;Prima fascia;49
Amo;P;Svilar;Roma;Prima fascia;63
Anto;P;Meret;Napoli;Prima fascia;48
Zambro;P;Okoye;Udinese;Terza fascia;29
Beppe;P;Maignan;Milan;Prima fascia;55
Alle;P;De Gea;Fiorentina;Seconda fascia;32
Zambro;P;Butez;Como;Prima fascia;46
Cava;P;Carnesecchi;Atalanta;Prima fascia;35
Lollo;P;Vicario;Juventus;Prima fascia;35
Amo;P;Mandas;Lazio;Seconda fascia;15
Lollo;P;Grabara;Juventus;Scommesse;6
Anto;P;Falcone;Lecce;Terza fascia;7
Alle;P;Corvi;Parma;Quarta fascia;5
Bale;P;Skorupski;Bologna;Seconda fascia;5
Beppe;P;Terracciano;Milan;Da assegnare;1
Amo;P;Motta;Lazio;Outsider;1
Zambro;P;Bijlow;Genoa;Terza fascia;2
Alle;P;Muric;Sassuolo;Quarta fascia;1
Anto;P;Milinkovic-Savic V.;Napoli;Scommesse;3
Bale;P;Caprile;Cagliari;Terza fascia;6
Beppe;P;Torriani;Milan;Da assegnare;1
Cava;P;Sportiello;Atalanta;Da assegnare;1
Cava;P;Daffara;Parma;Outsider;1
Amo;D;Dimarco;Inter;Prima fascia;75
Beppe;D;Wesley;Roma;Prima fascia;61
Cava;D;Spence;Inter;Seconda fascia;30
Bale;D;Solet;Udinese;Prima fascia;26
Alle;D;Delprato;Parma;Quarta fascia;9
Alle;D;Kossounou;Atalanta;Scommesse;6
Bale;D;Bremer;Juventus;Prima fascia;39
Alle;D;Pavlovic;Milan;Seconda fascia;28
Beppe;D;Bastoni;Inter;Prima fascia;37
Lollo;D;Molina N.;Roma;Prima fascia;48
Cava;D;Bellanova;Atalanta;Scommesse;9
Bale;D;Jimenez A.;Fiorentina;Seconda fascia;19
Lollo;D;Cambiaso;Juventus;Terza fascia;9
Anto;D;Gila;Milan;Terza fascia;22
Lollo;D;Idzes;Sassuolo;Quarta fascia;2
Bale;D;Rrahmani;Napoli;Prima fascia;25
Anto;D;Akanji;Inter;Prima fascia;38
Zambro;D;Mancini;Roma;Prima fascia;27
Amo;D;Doekhi;Lazio;Quarta fascia;7
Zambro;D;Vojvoda;Udinese;Terza fascia;17
Amo;D;N'Dicka;Roma;Seconda fascia;24
Bale;D;Norton-Cuffy;Genoa;Terza fascia;13
Amo;D;Stones;Inter;Scommesse;16
Anto;D;Dragusin;Fiorentina;Terza fascia;9
Amo;D;Bisseck;Inter;Seconda fascia;33
Lollo;D;Di Lorenzo;Napoli;Seconda fascia;25
Alle;D;Troilo;Parma;Titolari scarsi;7
