--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Diego Abbrandini,it ITA,GK,Brescia,17,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,71201659
2,Francesco Acerbi,it ITA,DF,Lazio,31,1988,36,3162,88,92.5,35.1,36,88,32,0,,1,2.00,74,38,+36,+1.02,+0.68,Matches,b96b595c
3,Bobby Adekanye,nl NED,FWMF,Lazio,20,1999,11,188,17,5.5,2.1,0,,0,11,17,21,1.45,3,5,-2,-0.96,-2.04,Matches,3ed84b2c
4,Claud Adjapong,it ITA,MF,Hellas Verona,21,1998,5,231,46,6.8,2.6,2,90,2,3,17,26,0.60,5,7,-2,-0.78,-0.72,Matches,ce5b170a
5,Andrea Adorante,it ITA,FW,Parma,19,2000,0,,,,,0,,0,0,,9,,,,,,,Matches,7005ac66
6,Lucien Agoume,fr FRA,MF,Inter,17,2002,3,68,23,2.0,0.8,0,,0,3,23,21,1.67,3,3,0,0.00,-1.21,Matches,8bc8829a
7,Kevin Agudelo,co COL,MFFW,Genoa,20,1998,10,666,67,19.5,7.4,7,86,4,3,22,5,0.60,8,11,-3,-0.41,+0.35,Matches,46fa7204
8,Kevin Agudelo,co COL,MF,Fiorentina,20,1998,3,64,21,1.9,0.7,1,54,0,2,5,13,2.00,1,3,-2,-2.81,-2.95,Matches,46fa7204
9,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,28,1990,10,230,23,6.7,2.6,2,78,1,8,9,9,1.90,3,6,-3,-1.17,-1.15,Matches,fe0b8f0e
10,Ola Aina,ng NGA,MF,Torino,22,1996,32,2079,65,60.8,23.1,20,84,12,12,33,5,1.13,35,40,-5,-0.22,+0.92,Matches,246d153b
11,Fabrizio Alastra,it ITA,GK,Parma,21,1997,0,,,,,0,,0,0,,20,,,,,,,Matches,cfed4243
12,Luis Alberto,es ESP,MF,Lazio,26,1992,36,3113,86,91.0,34.6,36,86,26,0,,0,2.08,75,37,+38,+1.10,+1.39,Matches,5294a83f
13,Enrico Alfonso,it ITA,GK,Brescia,31,1988,4,279,70,8.2,3.1,4,70,3,0,,23,0.75,4,4,0,0.00,+1.26,Matches,95adf1e1
14,Marco Alia,al ALB,GK,Lazio,19,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,261dfc43
15,Allan,br BRA,MF,Napoli,28,1991,23,1280,56,37.4,14.2,16,75,8,7,11,5,1.52,20,20,0,0.00,-0.46,Matches,cc700722
16,Bruno Alves,pt POR,DF,Parma,37,1981,33,2671,81,78.1,29.7,31,85,27,2,14,0,1.33,39,44,-5,-0.17,-0.65,Matches,585a73a8
17,Sofyan Amrabat,ma MAR,MF,Hellas Verona,22,1996,34,2919,86,85.4,32.4,33,87,22,1,42,0,1.29,40,46,-6,-0.18,-0.54,Matches,5a2cb25d
18,Djavan Anderson,sr SUR,MF,Lazio,24,1995,6,167,28,4.9,1.9,2,65,0,4,10,11,1.67,3,3,0,0.00,-1.02,Matches,ca241ad3
19,Nícolas Andrade,br BRA,GK,Udinese,31,1988,0,,,,,0,,0,0,,38,,,,,,,Matches,326d09ef
20,Lorenzo Andrenacci,it ITA,GK,Brescia,24,1995,6,531,89,15.5,5.9,5,90,5,1,81,20,0.17,4,16,-12,-2.03,-1.04,Matches,fe471a89
21,Peter Ankersen,dk DEN,MFDF,Genoa,28,1990,19,1063,56,31.1,11.8,11,78,6,8,26,13,1.05,15,18,-3,-0.25,+0.62,Matches,df525574
22,Cristian Ansaldi,ar ARG,MF,Torino,32,1986,27,1768,65,51.7,19.6,21,78,11,6,23,2,1.00,26,31,-5,-0.25,+0.67,Matches,bbafc0c4
23,Mirko Antonucci,it ITA,FWMF,Roma,20,1999,2,82,41,2.4,0.9,0,,0,2,41,16,2.00,2,1,+1,+1.10,+0.42,Matches,91976866
24,Guilherme Arana,br BRA,DFMF,Atalanta,22,1997,4,80,20,2.3,0.9,0,,0,4,20,10,1.25,1,1,0,0.00,-1.35,Matches,2b15a82a
25,Simone Aresti,it ITA,GK,Cagliari,33,1986,0,,,,,0,,0,0,,17,,,,,,,Matches,a9eaccda
26,Nicolò Armini,it ITA,DF,Lazio,18,2001,1,3,3,0.1,0.0,0,,0,1,3,10,3.00,1,0,+1,+30.00,+29.05,Matches,2f7407fa
27,Kwadwo Asamoah,gh GHA,MF,Inter,30,1988,8,639,80,18.7,7.1,7,89,6,1,19,15,2.38,15,5,+10,+1.41,+0.28,Matches,089550f5
28,Kristoffer Askildsen,no NOR,MF,Sampdoria,18,2001,4,76,19,2.2,0.8,0,,0,4,19,9,1.00,1,1,0,0.00,+0.46,Matches,a69cc629
29,Emil Audero,id IDN,GK,Sampdoria,22,1997,36,3240,90,94.7,36.0,36,90,36,0,,2,1.14,46,60,-14,-0.39,+1.11,Matches,649b01d8
30,Tommaso Augello,it ITA,DF,Sampdoria,24,1994,17,1135,67,33.2,12.6,12,88,10,5,16,21,1.18,22,19,+3,+0.24,+1.03,Matches,3cd3b384
31,Giuseppe Aurelio,it ITA,MF,Sassuolo,19,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,3bd2a854
32,Lorenzo Avogadri,it ITA,GK,Sampdoria,17,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,812d3750
33,Florian Ayé,fr FRA,FWMF,Brescia,22,1997,22,1380,63,40.4,15.3,15,80,8,7,25,15,0.59,12,27,-15,-0.98,+0.30,Matches,718b8afd
34,Khouma Babacar,sn SEN,FW,Lecce,26,1993,25,1422,57,41.6,15.8,17,69,4,8,32,2,0.76,16,33,-17,-1.08,-0.36,Matches,422ec08a
35,Milan Badelj,hr CRO,MF,Fiorentina,30,1989,22,1585,72,46.3,17.6,20,79,10,2,5,15,1.05,19,26,-7,-0.40,-0.89,Matches,e8c930bb
36,Mohamed Bahlouli,fr FRA,MF,Sampdoria,19,2000,0,,,,,0,,0,0,,1,,,,,,,Matches,433030e4
37,Marco Ballarini,it ITA,MF,Udinese,18,2001,1,1,1,0.0,0.0,0,,0,1,1,11,3.00,0,0,0,0.00,+0.37,Matches,8cb494c9
38,Botond Balogh,hu HUN,DF,Parma,17,2002,0,,,,,0,,0,0,,4,,,,,,,Matches,348bafd4
