--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Performance,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
1,Gennaro Acampora,it ITA,MFFW,Spezia,26,1994,4.9,2,0,0,10,12,1,7,4,4,,,0,Matches,01040647
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,9,1,1,31,25,2,31,78,32,,,0,Matches,b96b595c
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,7005ac66
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,2,0,0,16,9,0,1,16,10,,,0,Matches,8bc8829a
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,4,0,0,20,32,2,11,9,29,,,0,Matches,46fa7204
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,9,0,0,31,12,0,5,23,23,,,0,Matches,fdf4b948
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,5,0,0,20,36,2,148,15,27,,,0,Matches,5294a83f
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,3,0,0,20,9,1,9,28,10,,,0,Matches,585a73a8
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0,0,0,0,0,0,0,1,0,,,0,Matches,35b4bc62
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,7,0,0,59,44,0,17,23,24,,,0,Matches,5a2cb25d
11,Djavan Anderson,sr SUR,MF,Lazio,25,1995,0.8,0,0,0,1,1,0,2,1,0,,,0,Matches,ca241ad3
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches,326d09ef
13,Davide Angelo Ghislandi,it ITA,MF,Atalanta,19,2001,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,0e0e4422
14,Philip Ankhrah,gh GHA,FW,Hellas Verona,17,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,f5409698
15,Cristian Ansaldi,ar ARG,MF,Torino,33,1986,21.6,1,0,0,24,22,0,178,18,34,,,0,Matches,bbafc0c4
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,1,0,0,2,2,0,0,5,2,,,0,Matches,8f68aa41
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,2f7407fa
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,9,0,0,38,47,0,13,27,34,,,0,Matches,963a328b
19,Kwadwo Asamoah,gh GHA,MF,Cagliari,31,1988,2.5,0,0,0,0,4,0,7,4,3,,,0,Matches,089550f5
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,2,0,0,3,1,0,1,2,0,,,0,Matches,a69cc629
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,0,0,0,0,6,0,0,1,1,,,0,Matches,649b01d8
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,2,1,0,13,26,2,147,36,31,,,0,Matches,3cd3b384
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,3,0,0,8,2,0,3,18,7,,,0,Matches,2200181e
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,7,0,0,35,32,1,14,85,25,,,0,Matches,e8c930bb
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,6,1,1,36,52,1,2,43,43,,,0,Matches,59bf127b
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,4,1,0,31,35,4,8,0,6,,,0,Matches,509a4ccb
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,1,0,0,1,0,0,0,2,5,,,0,Matches,348bafd4
28,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,6,0,0,16,8,0,3,35,12,,,0,Matches,0821331c
29,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,4,0,0,13,8,1,2,29,5,,,0,Matches,0821331c
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,5,1,0,59,17,4,13,13,23,,,0,Matches,01efac19
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,8,0,0,26,10,1,39,50,16,,,1,Matches,c010b898
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,5,0,0,44,53,2,64,28,30,,,0,Matches,6928979a
33,Antonio Barreca,it ITA,MF,Fiorentina,25,1995,0.9,0,0,0,1,0,1,12,0,0,,,0,Matches,6a189491
34,Musa Barrow,gm GAM,MFFW,Bologna,21,1998,32.5,0,0,0,19,32,12,137,12,11,,,0,Matches,e5bf73f3
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,1,0,0,4,1,0,13,1,1,,,0,Matches,6029a945
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,2,0,0,6,10,0,14,9,7,,,0,Matches,ea06dd97
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,6,0,0,39,28,0,25,44,24,,,0,Matches,75b86fb3
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,7,0,0,35,27,2,95,17,27,,,0,Matches,1ac232b8
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,0,0,0,1,4,0,0,1,1,,,0,Matches,c01c66d9
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,5,0,0,50,47,0,13,67,29,,,0,Matches,19e4eab9
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,3,1,1,28,21,0,3,9,10,,,0,Matches,d3d758d8
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,4,0,0,58,134,21,23,12,15,,,0,Matches,d705ba44
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,2,0,0,12,16,1,30,4,11,,,0,Matches,a128b07e
