--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Gennaro Acampora,it ITA,MFFW,Spezia,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,0,0,Matches,01040647
2,Francesco Acerbi,it ITA,DF,Lazio,32,1988,31.3,0,9,1,11.1,0.29,0.03,0.00,0.00,0,0,Matches,b96b595c
3,Andrea Adorante,it ITA,FW,Parma,20,2000,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,7005ac66
4,Lucien Agoume,fr FRA,MF,Spezia,18,2002,8.9,0,3,1,33.3,0.34,0.11,0.00,0.00,0,0,Matches,8bc8829a
5,Kevin Agudelo,co COL,FW,Spezia,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,0,0,Matches,46fa7204
6,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,27,1992,11.7,0,12,3,25.0,1.02,0.26,0.00,0.00,0,0,Matches,fdf4b948
7,Luis Alberto,es ESP,MF,Lazio,27,1992,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,0,0,Matches,5294a83f
8,Bruno Alves,pt POR,DF,Parma,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.10,0.33,0,0,Matches,585a73a8
9,Wisdom Amey,it ITA,DF,Bologna,14,2005,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,35b4bc62
10,Sofyan Amrabat,ma MAR,MF,Fiorentina,23,1996,27.1,0,10,4,40.0,0.37,0.15,0.00,0.00,0,0,Matches,5a2cb25d
11,Djavan Anderson,sr SUR,MF,Lazio,25,1995,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,ca241ad3
12,Nícolas Andrade,br BRA,GK,Udinese,32,1988,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,326d09ef
13,Davide Angelo Ghislandi,it ITA,MF,Atalanta,19,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,0e0e4422
14,Philip Ankhrah,gh GHA,FW,Hellas Verona,17,2002,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,f5409698
15,Cristian Ansaldi,ar ARG,MF,Torino,33,1986,21.6,1,18,7,38.9,0.83,0.32,0.06,0.14,1,1,Matches,bbafc0c4
16,Valentin Antov,bg BUL,DF,Bologna,19,2000,2.6,0,1,0,0.0,0.39,0.00,0.00,,0,0,Matches,8f68aa41
17,Nicolò Armini,it ITA,DF,Lazio,19,2001,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,2f7407fa
18,Tolgay Arslan,de GER,MF,Udinese,29,1990,20.2,3,22,6,27.3,1.09,0.30,0.14,0.50,0,0,Matches,963a328b
19,Kwadwo Asamoah,gh GHA,MF,Cagliari,31,1988,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,0,0,Matches,089550f5
20,Kristoffer Askildsen,no NOR,MF,Sampdoria,19,2001,1.1,0,1,0,0.0,0.95,0.00,0.00,,0,0,Matches,a69cc629
21,Emil Audero,id IDN,GK,Sampdoria,23,1997,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,649b01d8
22,Tommaso Augello,it ITA,DF,Sampdoria,25,1994,35.7,1,8,3,37.5,0.22,0.08,0.13,0.33,0,0,Matches,3cd3b384
23,Kaan Ayhan,tr TUR,DF,Sassuolo,25,1994,8.8,0,5,0,0.0,0.57,0.00,0.00,,0,0,Matches,2200181e
24,Milan Badelj,hr CRO,MF,Genoa,31,1989,26.8,1,17,4,23.5,0.64,0.15,0.06,0.25,0,0,Matches,e8c930bb
25,Tiemoué Bakayoko,fr FRA,MF,Napoli,25,1994,21.8,2,16,4,25.0,0.73,0.18,0.13,0.50,0,0,Matches,59bf127b
26,Keita Baldé,sn SEN,FW,Sampdoria,25,1995,13.3,7,44,19,43.2,3.31,1.43,0.16,0.37,0,0,Matches,509a4ccb
27,Botond Balogh,hu HUN,DF,Parma,18,2002,1.8,0,0,0,,0.00,0.00,,,0,0,Matches,348bafd4
28,Mattia Bani,it ITA,DF,Parma,26,1993,12.7,0,8,2,25.0,0.63,0.16,0.00,0.00,0,0,Matches,0821331c
29,Mattia Bani,it ITA,DF,Genoa,26,1993,10.2,0,5,1,20.0,0.49,0.10,0.00,0.00,0,0,Matches,0821331c
30,Antonín Barák,cz CZE,MF,Hellas Verona,25,1994,30.7,7,45,17,37.8,1.46,0.55,0.16,0.41,0,0,Matches,01efac19
31,Federico Barba,it ITA,DF,Benevento,26,1993,29.5,0,13,3,23.1,0.44,0.10,0.00,0.00,0,0,Matches,c010b898
32,Nicolò Barella,it ITA,MF,Inter,23,1997,32.2,3,36,8,22.2,1.12,0.25,0.08,0.38,0,0,Matches,6928979a
33,Antonio Barreca,it ITA,MF,Fiorentina,25,1995,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,0,0,Matches,6a189491
34,Musa Barrow,gm GAM,MFFW,Bologna,21,1998,32.5,8,88,39,44.3,2.71,1.20,0.09,0.21,0,1,Matches,e5bf73f3
35,Paolo Bartolomei,it ITA,MF,Spezia,30,1989,3.6,0,4,0,0.0,1.13,0.00,0.00,,0,0,Matches,6029a945
36,Daniele Baselli,it ITA,MF,Torino,28,1992,4.4,0,5,2,40.0,1.14,0.45,0.00,0.00,0,0,Matches,ea06dd97
37,Alessandro Bastoni,it ITA,DF,Inter,21,1999,32.5,0,10,1,10.0,0.31,0.03,0.00,0.00,0,0,Matches,75b86fb3
38,Simone Bastoni,it ITA,DF,Spezia,23,1996,16.9,1,21,5,23.8,1.24,0.30,0.05,0.20,0,0,Matches,1ac232b8
39,Bastos,ao ANG,DF,Lazio,29,1991,0.7,0,0,0,,0.00,0.00,,,0,0,Matches,c01c66d9
40,Rodrigo Becão,br BRA,DF,Udinese,24,1996,30.9,1,12,4,33.3,0.39,0.13,0.08,0.25,0,0,Matches,19e4eab9
41,Valon Behrami,ch SUI,MF,Genoa,35,1985,9.9,0,4,2,50.0,0.40,0.20,0.00,0.00,0,0,Matches,d3d758d8
42,Andrea Belotti,it ITA,FW,Torino,26,1993,32.1,13,106,40,37.7,3.30,1.25,0.12,0.33,4,5,Matches,d705ba44
43,Ahmad Benali,ly LBY,MF,Crotone,28,1992,13.5,0,10,4,40.0,0.74,0.30,0.00,0.00,0,0,Matches,a128b07e
44,Ismaël Bennacer,dz ALG,MF,Milan,22,1997,14.7,0,12,1,8.3,0.81,0.07,0.00,0.00,0,0,Matches,db092d3b
45,Rodrigo Bentancur,uy URU,MF,Juventus,23,1997,25.8,0,15,5,33.3,0.58,0.19,0.00,0.00,0,0,Matches,3b8674e6
46,Alessandro Berardi,it ITA,GK,Hellas Verona,29,1991,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,ec1f737d
