
--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Tammy Abraham,eng ENG,FW,Roma,23,1997,34.3,17,95,39,41.1,2.77,1.14,0.18,0.44,3,3,Matches,f586779e
2,Francesco Acerbi,it ITA,DF,Lazio,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,0,0,Matches,b96b595c
3,Michel Aebischer,ch SUI,MF,Bologna,24,1997,4.9,0,2,2,100.0,0.41,0.41,0.00,0.00,0,0,Matches,f9c927de
4,Felix Afena-Gyan,gh GHA,MFFW,Roma,18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,0,0,Matches,0154d290
5,Kevin Agudelo,co COL,MFFW,Spezia,22,1998,13.7,3,21,11,52.4,1.53,0.80,0.14,0.27,0,0,Matches,46fa7204
6,Ola Aina,ng NGA,MF,Torino,24,1996,16.0,0,10,4,40.0,0.63,0.25,0.00,0.00,0,0,Matches,246d153b
7,Marley Aké,fr FRA,FWMF,Juventus,20,2001,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,414e1f69
8,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28,1992,3.5,0,3,0,0.0,0.86,0.00,0.00,,0,0,Matches,fdf4b948
9,Luis Alberto,es ESP,MF,Lazio,28,1992,26.1,5,47,16,34.0,1.80,0.61,0.11,0.31,0,0,Matches,5294a83f
10,Giorgio Altare,it ITA,DF,Cagliari,22,1998,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,0,0,Matches,aa5322d5
11,Wisdom Amey,it ITA,DF,Bologna,15,2005,0.8,0,0,0,,0.00,0.00,,,0,0,Matches,35b4bc62
12,Kelvin Amian,fr FRA,DF,Spezia,23,1998,29.4,1,26,9,34.6,0.88,0.31,0.04,0.11,0,0,Matches,bcc81786
13,Nadiem Amiri,de GER,MF,Genoa,24,1996,7.6,0,16,6,37.5,2.11,0.79,0.00,0.00,0,0,Matches,555d5edd
14,Ethan Ampadu,wls WAL,MFDF,Venezia,20,2000,25.4,0,7,1,14.3,0.28,0.04,0.00,0.00,0,0,Matches,10b9fa99
15,Sofyan Amrabat,ma MAR,MF,Fiorentina,24,1996,10.5,1,4,3,75.0,0.38,0.29,0.25,0.33,0,0,Matches,5a2cb25d
16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,6,44,16,36.4,1.37,0.50,0.14,0.38,0,0,Matches,9f1893b9
17,Frank Anguissa,cm CMR,MF,Napoli,25,1995,21.4,0,20,3,15.0,0.93,0.14,0.00,0.00,0,0,Matches,6bb2c084
18,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,39aa05a7
19,Cristian Ansaldi,ar ARG,MF,Torino,34,1986,7.7,0,7,1,14.3,0.91,0.13,0.00,0.00,0,0,Matches,bbafc0c4
20,Janis Antiste,fr FRA,FWMF,Spezia,18,2002,8.8,1,11,3,27.3,1.24,0.34,0.09,0.33,0,0,Matches,38d9ce53
21,Mattia Aramu,it ITA,MFFW,Venezia,26,1995,23.3,7,59,19,32.2,2.53,0.81,0.12,0.37,3,4,Matches,0847b5a5
22,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,14,91,34,37.4,3.04,1.14,0.15,0.41,2,3,Matches,00459419
23,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,0,0,Matches,963a328b
24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,0,7,0,0.0,0.84,0.00,0.00,,0,0,Matches,a69cc629
