--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Simone Aresti,it ITA,GK,Cagliari,37,1986,1,0,1,0.0,1,90.00,1,0,0.0,0,0,0,0,,1,1,0,0,0.0,Matches,a9eaccda
2,Emil Audero,id IDN,GK,Inter,26,1997,4,4,337,3.7,3,0.80,11,8,72.7,2,1,1,2,50.0,0,0,0,0,,Matches,649b01d8
3,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,0,5,0.1,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,ad263695
4,Etrit Berisha,al ALB,GK,Empoli,34,1989,14,14,1260,14.0,25,1.79,74,49,66.2,3,3,8,4,28.6,3,2,1,0,33.3,Matches,ee833569
5,Elia Caprile,it ITA,GK,Empoli,21,2001,23,23,2070,23.0,27,1.17,106,79,74.5,6,6,11,4,17.4,5,4,1,0,20.0,Matches,97d7afbd
6,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,27,27,2425,26.9,30,1.11,101,76,70.3,15,5,7,8,29.6,7,4,2,1,33.3,Matches,8ec56e62
7,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8,7,675,7.5,11,1.47,29,18,62.1,2,2,3,0,0.0,1,0,0,1,,Matches,efdeaff3
8,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4,4,360,4.0,9,2.25,19,10,52.6,1,1,2,0,0.0,2,2,0,0,0.0,Matches,af104654
9,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,35.0,68,1.94,163,95,58.3,6,8,21,2,5.7,10,7,1,2,12.5,Matches,8cabdc1e
10,Nikita Contini,it ITA,GK,Napoli,27,1996,1,0,17,0.2,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Matches,e95069bb
11,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,13.0,29,2.23,68,39,57.4,2,3,8,1,7.7,3,3,0,0,0.0,Matches,2434f24a
12,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,3.0,7,2.33,15,8,53.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches,f554e29b
13,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,1,0,23,0.3,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,Matches,7a4050d5
14,Michele Di Gregorio,it ITA,GK,Monza,26,1997,33,33,2872,31.9,35,1.10,155,124,77.4,11,11,11,12,36.4,5,3,2,0,40.0,Matches,4e0c8d66
15,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38,38,3420,38.0,54,1.42,172,121,68.6,8,14,16,5,13.2,6,5,1,0,16.7,Matches,9f5a610b
16,Vincenzo Fiorillo,it ITA,GK,Salernitana,33,1990,4,4,360,4.0,8,2.00,26,18,69.2,0,2,2,0,0.0,0,0,0,0,,Matches,a2565f79
17,Luca Gemello,it ITA,GK,Torino,23,2000,2,2,180,2.0,5,2.50,9,4,44.4,0,0,2,0,0.0,1,1,0,0,0.0,Matches,53e494ec
18,Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,,Matches,f0f7f62f
19,Nicola Leali,it ITA,GK,Genoa,30,1993,3,2,176,2.0,2,1.02,9,7,77.8,1,0,1,1,50.0,0,0,0,0,,Matches,5f9970a0
20,Mike Maignan,fr FRA,GK,Milan,28,1995,29,29,2609,29.0,34,1.17,121,87,71.9,19,5,5,11,37.9,7,7,0,0,0.0,Matches,fcb38f57
21,Christos Mandas,gr GRE,GK,Lazio,21,2001,9,8,721,8.0,6,0.75,29,23,79.3,6,1,1,2,25.0,0,0,0,0,,Matches,f794e9ab
22,Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1,1,90,1.0,2,2.00,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,Matches,968ddd14
23,Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,3239,36.0,43,1.19,130,87,66.9,11,13,12,8,22.2,4,3,1,0,25.0,Matches,11d8aff0
24,Alex Meret,it ITA,GK,Napoli,26,1997,31,31,2773,30.8,40,1.30,102,62,60.8,10,13,8,5,16.1,4,2,2,0,50.0,Matches,9413b19f
25,Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36,36,3240,36.0,31,0.86,134,103,76.9,13,14,9,17,47.2,6,6,0,0,0.0,Matches,9fa26bc2
26,Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,2.0,3,1.53,8,5,62.5,0,1,1,0,0.0,0,0,0,0,,Matches,30223b33
