--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,James Abankwah,ie IRL,DF,Udinese,22-221,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
2,Zakaria Aboukhlal,ma MAR,FWMF,Torino,26-188,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2a6033c
3,Akor Adams,ng NGA,FW,Venezia,26-208,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ccd39ed
4,Ché Adams,sct SCO,FWMF,Torino,30-043,1996,1,0,21,0.2,1,0,1,1,0,0,0,0,4.29,0.00,4.29,4.29,4.29,Matches,f2bf1b0f
5,Vasilije Adžić,me MNE,MF,Sassuolo,20-105,2006,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b0f9fb8
6,Manuel Akanji,ch SUI,DF,Inter,31-037,1995,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89ac64a6
7,Pontus Almqvist,se SWE,FWMF,Parma,27-046,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0917188a
8,Mikel Amondarain,ar ARG,MF,Bologna,21-231,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95cf8804
9,Amorim,br BRA,MF,Genoa,21-099,2005,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87c4d798
10,Frank Anguissa,cm CMR,MF,Napoli,30-282,1995,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6bb2c084
11,Arthur Atta,fr FRA,MF,Fiorentina,23-223,2003,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3ddf88b
12,Yann Aurel Bisseck,de GER,DF,Inter,25-269,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,3963c25b
13,Giuseppe Aurelio,it ITA,MF,Cagliari,26-156,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bd2a854
14,Neil El Aynaoui,ma MAR,MF,Roma,25-054,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17e1261b
15,Oussama El Azzouzi,ma MAR,MF,Bologna,25-088,2001,1,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,85f476cc
16,Darryl Bakola,fr FRA,MF,Sassuolo,18-268,2007,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57de24a3
17,Adam Bakoune,it ITA,MF,Monza,20-200,2006,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5301d8c
18,Tommaso Baldanzi,it ITA,MF,Genoa,23-155,2003,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,102e2599
19,Nicolò Barella,it ITA,MF,Inter,29-199,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6928979a
20,Davide Bartesaghi,it ITA,MF,Milan,20-239,2005,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7e0b6c50
21,Toma Bašić,hr CRO,MF,Venezia,29-273,1996,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,80556f08
22,Alessandro Bastoni,it ITA,DF,Inter,27-134,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75b86fb3
23,Martin Baturina,hr CRO,MF,Como,23-190,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1eda5f0
24,Vakoun Bayo,ci CIV,FW,Udinese,29-227,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,132f161f
25,Armel Bella Kotchap,de GER,DF,Venezia,24-257,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a39d11bc
26,Adrian Bernabe,es ESP,MF,Parma,25-091,2001,1,1,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,548672b4
27,Federico Bernardeschi,it ITA,FWMF,Bologna,32-190,1994,1,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee93c1a9
28,Lorenzo Bernasconi,it ITA,DF,Atalanta,22-282,2003,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1041eb7
29,Justin Bijlow,nl NED,GK,Genoa,28-215,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,53d93280
30,El Bilal Touré,ml MLI,FW,Parma,24-326,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47c609d5
31,Samuele Birindelli,it ITA,MF,Monza,27-037,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,204ac005
32,Jeremie Boga,ci CIV,FWMF,Juventus,29-234,1997,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe012aca
33,Ange-Yoan Bonny,ci CIV,FW,Inter,22-304,2003,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,64629ba4
34,Gennaro Borrelli,it ITA,FW,Cagliari,26-168,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04c4edc1
35,Kieron Bowie,sct SCO,FW,Sassuolo,23-338,2002,1,1,87,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6dd87204
36,Gabriele Bracaglia,it ITA,DF,Frosinone,23-037,2003,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ff79fde4
37,Gleison Bremer,br BRA,DF,Juventus,29-160,1997,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,5fd5ed86
38,Marco Brescianini,it ITA,MF,Fiorentina,26-217,2000,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dfd56738
39,Gianluca Busio,us USA,MF,Venezia,24-089,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a0b7f07
40,Jean Butez,fr FRA,GK,Como,31-078,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f40333d
41,Alessio Cacciamani,it ITA,MF,Torino,19-057,2007,1,1,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2028c5c3
42,Hakan Çalhanoğlu,tr TUR,MF,Inter,32-198,1994,1,1,53,0.6,1,0,1,1,0,0,1,0,1.70,0.00,1.70,1.70,1.70,Matches,cd0fa27b
43,Giacomo Calò,it ITA,MF,Frosinone,29-201,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2ed2e04
44,Gabriele Calvani,it ITA,DF,Frosinone,22-225,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,253a68ea
45,Nicolò Cambiaghi,it ITA,MF,Bologna,25-240,2000,1,1,59,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,91ff775f
46,Andrea Cambiaso,it ITA,DFMF,Juventus,26-186,2000,1,0,22,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,247ed022
47,Matteo Cancellieri,it ITA,FW,Lazio,24-194,2002,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b6a1cdf9
48,Elia Caprile,it ITA,GK,Cagliari,25-000,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,97d7afbd
49,Maxence Caqueret,fr FRA,MF,Como,26-191,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f81ef10d
50,Andrea Carboni,it ITA,DF,Monza,25-202,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7e2af2c
51,Marco Carnesecchi,it ITA,GK,Atalanta,26-055,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ec56e62
52,Cesare Casadei,it ITA,MF,Torino,23-227,2003,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb920f3a
53,Santiago Castro,ar ARG,FW,Roma,21-341,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee5565ae
54,Zeki Çelik,tr TUR,DF,Juventus,29-189,1997,1,1,68,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31a62dc7
55,Trevoh Chalobah,eng ENG,DF,Como,27-051,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5515376c
56,Matteo Chichella,it ITA,MF,Frosinone,20-325,2005,1,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57ad9bf4
57,Samuel Chukwueze,ng NGA,MF,Milan,27-095,1999,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,b8a642fc
58,Riccardo Ciervo,it ITA,MF,Sassuolo,24-146,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da77b60b
59,Simone Cinquegrano,it ITA,DF,Sassuolo,22-061,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af9b8617
60,Alphadjo Cissè,it ITA,MF,Milan,19-307,2006,1,1,65,0.7,1,0,1,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,Matches,d079becb
61,Giorgio Cittadini,it ITA,DF,Frosinone,24-129,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4ba67f2
62,Saúl Coco,gq EQG,DF,Torino,27-197,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0ee1652
63,Lorenzo Colombo,it ITA,FW,Genoa,24-170,2002,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04df29a5
64,Andrea Colpani,it ITA,FW,Monza,27-106,1999,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6499048c
65,Pietro Comuzzo,it ITA,DF,Torino,21-186,2005,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5e3ecc35
66,Francisco Conceição,pt POR,MF,Juventus,23-254,2002,1,1,68,0.8,0,1,1,0,0,0,0,0,0.00,1.32,1.32,0.00,1.32,Matches,5ef3d210
67,Thierry Correia,pt POR,MF,Venezia,27-169,1999,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c78b352d
68,Edoardo Corvi,it ITA,GK,Parma,25-155,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a89398db
