--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Standard,,,,,,,,,
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atalanta,33,38.0,38,,135,,,3.55,,0.28,4,6
Bologna,31,38.0,33,,110,,,2.89,,0.30,2,3
Carpi,35,38.0,33,,126,,,3.32,,0.26,5,8
Chievo,26,38.0,42,,130,,,3.42,,0.32,5,8
Empoli,29,38.0,39,,147,,,3.87,,0.27,1,2
Fiorentina,26,38.0,58,,178,,,4.68,,0.33,8,9
Frosinone,28,38.0,34,,127,,,3.34,,0.27,3,3
Genoa,30,38.0,44,,150,,,3.95,,0.29,4,4
Hellas Verona,32,38.0,34,,140,,,3.68,,0.24,6,7
Inter,28,38.0,49,,170,,,4.47,,0.29,2,3
Juventus,28,38.0,72,,213,,,5.61,,0.34,9,9
Lazio,27,38.0,52,,150,,,3.95,,0.35,9,11
Milan,30,38.0,49,,165,,,4.34,,0.30,6,7
Napoli,22,38.0,78,,244,,,6.42,,0.32,7,8
Palermo,31,38.0,37,,134,,,3.53,,0.28,1,1
Roma,32,38.0,83,,220,,,5.79,,0.38,4,4
Sampdoria,35,38.0,45,,150,,,3.95,,0.30,3,3
Sassuolo,26,38.0,48,,166,,,4.37,,0.29,4,5
Torino,27,38.0,49,,173,,,4.55,,0.28,9,11
Udinese,28,38.0,34,,147,,,3.87,,0.23,2,2


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2015-2016/2015-2016-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_shooting_for">View Original Table</a><br>Generated 8/26/2026.
