--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Performance,,,,,,,,,,,
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atalanta,27,38.0,63,3,1,445,501,71,801,454,397,3,5,3
Bologna,29,38.0,94,6,3,516,519,83,737,372,430,2,4,1
Cagliari,30,38.0,99,9,5,573,454,58,794,344,388,3,10,2
Chievo,36,38.0,116,7,6,588,476,78,677,471,374,3,4,2
Empoli,29,38.0,74,3,1,458,440,77,636,333,328,5,8,2
Fiorentina,27,38.0,91,5,2,562,507,48,780,413,371,5,6,3
Frosinone,33,38.0,99,2,0,560,536,73,815,384,353,5,5,1
Genoa,31,38.0,96,7,2,559,481,65,797,424,424,4,6,2
Inter,23,38.0,75,3,2,468,488,64,1092,311,409,5,5,3
Juventus,31,38.0,78,4,2,471,469,75,867,396,355,5,4,1
Lazio,30,38.0,90,4,1,502,391,97,738,432,406,3,6,3
Milan,23,38.0,82,5,2,445,478,63,752,373,382,2,5,1
Napoli,26,38.0,75,5,3,410,414,85,774,358,359,0,4,0
Parma,31,38.0,84,3,2,493,433,91,511,399,351,5,8,5
Roma,26,38.0,90,2,2,461,395,50,855,419,344,5,7,1
Sampdoria,24,38.0,92,3,3,493,510,70,641,364,425,7,8,1
Sassuolo,29,38.0,90,8,3,528,528,73,660,378,328,4,8,2
SPAL,28,38.0,113,3,1,499,550,37,863,388,374,7,5,0
Torino,25,38.0,89,4,1,617,570,75,751,451,394,5,5,0
Udinese,31,38.0,92,4,2,505,469,66,585,381,387,7,9,1


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2018-2019/2018-2019-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_misc_for">View Original Table</a><br>Generated 8/26/2026.
