--- When using SR data, please cite us and provide a link and/or a mention.


 
,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Atalanta,3,38,38,3420,38.0,48,1.26,139,94,65.5,23,9,6,10,26.3,6,6,0,0,0.0
Bologna,2,38,38,3420,38.0,65,1.71,189,124,65.6,12,11,15,2,5.3,8,6,1,1,14.3
Brescia,3,38,38,3420,38.0,79,2.08,236,159,66.5,6,7,25,6,15.8,11,9,1,1,10.0
Cagliari,3,38,38,3418,38.0,56,1.47,195,141,71.3,11,12,15,7,18.4,9,7,1,1,12.5
Fiorentina,3,38,38,3420,38.0,48,1.26,162,112,70.4,12,13,13,11,28.9,11,9,2,0,18.2
Genoa,2,38,38,3420,38.0,73,1.92,201,130,63.7,10,9,19,7,18.4,9,7,0,2,0.0
Hellas Verona,2,38,38,3420,38.0,51,1.34,174,124,70.7,12,13,13,10,26.3,9,9,0,0,0.0
Inter,2,38,38,3420,38.0,36,0.95,118,82,69.5,24,10,4,14,36.8,4,3,1,0,25.0
Juventus,3,38,38,3420,38.0,43,1.13,162,118,73.5,26,5,7,12,31.6,12,9,1,2,10.0
Lazio,1,38,38,3420,38.0,42,1.11,154,112,72.7,24,6,8,11,28.9,9,7,1,1,12.5
Lecce,2,38,38,3420,38.0,85,2.24,256,172,66.8,9,8,21,3,7.9,13,11,2,0,15.4
Milan,3,38,38,3420,38.0,46,1.21,154,104,70.1,19,9,10,12,31.6,10,5,5,0,50.0
Napoli,2,38,38,3420,38.0,50,1.32,138,88,63.8,18,8,12,7,18.4,8,7,1,0,12.5
Parma,2,38,38,3420,38.0,57,1.50,212,152,73.1,14,7,17,6,15.8,11,7,3,1,30.0
Roma,3,38,38,3420,38.0,51,1.34,158,106,67.7,21,7,10,7,18.4,10,9,1,0,10.0
Sampdoria,2,38,38,3420,38.0,65,1.71,178,117,63.5,12,6,20,9,23.7,9,8,0,1,0.0
Sassuolo,3,38,38,3420,38.0,63,1.66,184,124,65.8,14,9,15,7,18.4,9,8,1,0,11.1
SPAL,3,38,38,3420,38.0,77,2.03,228,153,66.2,5,5,28,3,7.9,8,7,1,0,12.5
Torino,3,38,38,3420,38.0,68,1.79,208,142,67.3,11,7,20,7,18.4,11,10,1,0,9.1
Udinese,1,38,38,3420,38.0,51,1.34,194,141,73.7,12,9,17,14,36.8,10,8,2,0,20.0


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2019-2020/2019-2020-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_keeper_for">View Original Table</a><br>Generated 8/26/2026.
