--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Playing Time,,,,,Starts,,,Subs,,,Team Success,,,,
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atalanta,27,26.5,38,3420,90,100,38.0,418,80,244,175,23,212,1.68,66,48,+18,+0.47
Bologna,27,26.6,38,3420,90,100,38.0,418,81,252,164,22,261,1.42,53,49,+4,+0.11
Cremonese,33,26.0,38,3420,90,100,38.0,418,79,232,185,25,302,0.71,36,69,-33,-0.87
Empoli,32,25.3,38,3420,90,100,38.0,418,80,226,188,21,331,1.13,37,49,-12,-0.32
Fiorentina,30,26.5,38,3420,90,100,38.0,418,79,229,188,23,323,1.47,53,43,+10,+0.26
Hellas Verona,36,26.6,38,3420,90,100,38.0,418,79,233,184,25,307,0.82,31,59,-28,-0.74
Inter,25,28.8,38,3420,90,100,38.0,418,81,230,187,20,271,1.89,71,42,+29,+0.76
Juventus,29,27.7,38,3420,90,100,38.0,418,81,249,169,23,240,1.89,56,33,+23,+0.61
Lazio,24,28.6,38,3420,90,100,38.0,418,82,267,149,21,328,1.95,60,30,+30,+0.79
Lecce,29,24.8,38,3420,90,100,38.0,418,81,232,184,20,347,0.95,33,46,-13,-0.34
Milan,30,26.0,38,3420,90,100,38.0,418,80,234,183,23,321,1.84,64,43,+21,+0.55
Monza,31,26.6,38,3420,90,100,38.0,418,79,229,188,23,363,1.37,48,52,-4,-0.11
Napoli,27,26.4,38,3420,90,100,38.0,418,82,237,181,19,319,2.37,77,28,+49,+1.29
Roma,30,27.4,38,3420,90,100,38.0,418,81,249,168,21,307,1.66,50,38,+12,+0.32
Salernitana,30,27.2,38,3420,90,100,38.0,418,80,240,177,23,296,1.11,48,62,-14,-0.37
Sampdoria,40,27.9,38,3420,90,100,38.0,418,80,243,174,23,252,0.50,24,71,-47,-1.24
Sassuolo,31,26.1,38,3420,90,100,38.0,418,81,239,175,21,291,1.18,47,61,-14,-0.37
Spezia,34,25.7,38,3420,90,100,38.0,418,81,248,168,22,310,0.82,31,62,-31,-0.82
Torino,28,25.2,38,3420,90,100,38.0,418,82,255,164,20,304,1.39,42,41,+1,+0.03
Udinese,30,26.1,38,3420,90,100,38.0,418,82,242,174,20,259,1.21,47,48,-1,-0.03


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2022-2023/2022-2023-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_playing_time_for">View Original Table</a><br>Generated 8/26/2026.
