--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atalanta,16,26.8,56.0,1,11,90,1.0,2,1,3,2,0,0,0,0,2.00,1.00,3.00,2.00,3.00
Bologna,16,27.2,59.0,1,11,90,1.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
Cagliari,16,25.2,53.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.00,1.00,2.00,1.00,2.00
Como,16,25.0,59.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00
Fiorentina,16,25.8,39.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Frosinone,16,24.0,37.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Genoa,16,25.2,46.0,1,11,90,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Inter,16,27.5,71.0,1,11,90,1.0,4,3,7,4,0,0,2,0,4.00,3.00,7.00,4.00,7.00
Juventus,16,27.5,63.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.00,1.00,2.00,1.00,2.00
Lazio,16,26.6,41.0,1,11,90,1.0,1,1,2,1,0,0,4,0,1.00,1.00,2.00,1.00,2.00
Lecce,16,26.1,29.0,1,11,90,1.0,2,1,3,2,0,0,3,0,2.00,1.00,3.00,2.00,3.00
Milan,16,26.6,59.0,1,11,90,1.0,2,2,4,2,0,0,1,0,2.00,2.00,4.00,2.00,4.00
Monza,16,23.7,30.0,1,11,90,1.0,1,1,2,1,0,0,2,0,1.00,1.00,2.00,1.00,2.00
Napoli,16,29.6,54.0,1,11,90,1.0,2,2,4,2,0,0,1,0,2.00,2.00,4.00,2.00,4.00
Parma,16,23.9,47.0,1,11,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Roma,16,26.4,61.0,1,11,90,1.0,4,3,7,4,0,0,2,0,4.00,3.00,7.00,4.00,7.00
Sassuolo,16,24.7,44.0,1,11,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00
Torino,16,24.8,41.0,1,11,90,1.0,1,1,2,1,0,0,0,0,1.00,1.00,2.00,1.00,2.00
Udinese,16,27.0,41.0,1,11,90,1.0,1,1,2,1,0,0,3,0,1.00,1.00,2.00,1.00,2.00
Venezia,15,26.2,71.0,1,11,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_squads_standard_for">View Original Table</a><br>Generated 8/26/2026.
